Crate,  Slot,   Unique ID,              S/N
HFP04,	6,	0x5f000000 0xba266870,	500715
HFP04,	10,	0x39000000 0xb9f8e370,	500764
HFP04,	11,	0x87000000 0xba08df70,  500586
HFP04,	12,	0x62000000 0xba034070,  500707
HFP04,	13,	0x1f000000 0xba182670,	500665
HFP04,	14,	0xf3000000 0xba281170,	500628
HFP05,	3,	0xee000000 0xba0f2270,  500600
HFP05,	4,	0xc2000000 0xba282570,  500626
HFP05,	5,	0xa3000000 0xba256e70,  500672
HFP05,	6,	0x2a000000 0xba024770,	500648
HFP05,	10,	0x8a000000 0xba058570,  500656
HFP05,	11,	0x78000000 0xb9ff7b70,  500698
HFP05,	12,	0x68000000 0xba29ee70,  500671
HFP05,	13,	0x26000000 0xba233f70,	500643
HFP05,	14,	0xa000000 0xba0fdb70,	500670
HFP06,	3,	0xb3000000 0xba04e470,	500620
HFP06,	4,	0x3e000000 0xba136970,	500658
HFP06,	5,	0x69000000 0xba0c1d70,	500652
HFP06,	6,	0xad000000 0xba2a9070,	500599
HFP06,	10,	0x24000000 0xb9f43870,	500691
HFP06,	11,	0xd8000000 0xba15d570,	500624
HFP06,	12,	0x91000000 0xba287970,	500660
HFP06,	13,	0xea000000 0xba1ca670,	500597
HFP06,	14,	0x97000000 0xba25f970,	500718
HFP07,	3,	0x4000000 0xb9fdc070,	500740
HFP07,	4,	0xe2000000 0xb9ee8870,	500593
HFP07,	5,	0x1d000000 0xb9e5d070,	500595
HFP07,	6,	0x54000000 0xba06b970,	500701
HFP07,	10,	0x35000000 0xba1e0670,	500614
HFP07,	11,	0xeb000000 0xb9f37d70,	500709
HFP07,	12,	0xa9000000 0xb9fe8970,	500598
HFP07,	13,	0x94000000 0xba29c370,	500609
HFP07,	14,	0x1000000 0xb9e89770,	500640
HFP08,	3,	0xd4000000 0xba10c270,	500714
HFP08,	4,	0xda000000 0xba066470,	500587
HFP08,	5,	0x89000000 0xb9fbdd70,	500746
HFP08,	6,	0xc4000000 0xb9fe1d70,	500768
HFP08,	10,	0x3b000000 0xba1b0270,	500676
HFP08,	11,	0x8000000 0xba242070,	500696
HFP08,	12,	0xf1000000 0xba05bc70,	500766
HFP08,	13,	0x2f000000 0xba24b970,	500678
HFP08,	14,	0x4000000 0xba0bc670,	500735
