## file created 06.Feb.2017 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 47402007   3   6   b   24       9          8              2      HO    -8     7      4
 47402407   3   6   b   24       9          7              1      HO    -9     7      4
 47402807   3   6   b   24       9          6              2      HO   -10     7      4
 47402C07   3   6   b   24       9          5              1      HO   -11     7      4
 47403007   3   6   b   24       9          4              2      HO   -12     7      4
 47403407   3   6   b   24       9          3              1      HO   -13     7      4
 47403807   3   6   b   24       9          2              2      HO   -14     7      4
 47403C07   3   6   b   24       9          1              1      HO   -15     7      4
 4E240787   3  13   b   25       1          8              2     HOX   -15     7   -999
 47400408   3  13   b   25       1          4              1      HO    -1     8      4
 47400808   3   7   t   24      10          8              2      HO    -2     8      4
 47400C08   3  13   b   25       1          4              0      HO    -3     8      4
 47401008   3  13   b   25       1          4              2      HO    -4     8      4
 4E240208   3   7   b   24      11          4              2     HOX    -4     8   -999
 47401408   3   7   t   24      10          3              2      HO    -5     8      4
 47401808   3   7   t   24      10          2              0      HO    -6     8      4
 47401C08   3   7   t   24      10          1              2      HO    -7     8      4
 47402008   3   6   t   24       8          8              0      HO    -8     8      4
 47402408   3   6   t   24       8          7              2      HO    -9     8      4
 47402808   3   6   t   24       8          6              0      HO   -10     8      4
 47402C08   3   6   t   24       8          5              2      HO   -11     8      4
 47403008   3   6   t   24       8          4              0      HO   -12     8      4
 47403408   3   6   t   24       8          3              2      HO   -13     8      4
 47403808   3   6   t   24       8          2              0      HO   -14     8      4
 47403C08   3   6   t   24       8          1              2      HO   -15     8      4
 4E240788   3   7   b   24      11          8              0     HOX   -15     8   -999
 47400409   3  13   t   25       0          8              0      HO    -1     9      4
 47400809   3   7   t   24      10          6              1      HO    -2     9      4
 47400C09   3  13   t   25       0          8              1      HO    -3     9      4
 47401009   3  13   t   25       0          8              2      HO    -4     9      4
 47401409   3   7   t   24      10          3              0      HO    -5     9      4
 47401809   3   7   t   24      10          2              1      HO    -6     9      4
 47401C09   3   7   t   24      10          1              0      HO    -7     9      4
 47402009   3   6   t   24       8          8              1      HO    -8     9      4
 47402409   3   6   t   24       8          7              0      HO    -9     9      4
 47402809   3   6   t   24       8          6              1      HO   -10     9      4
 47402C09   3   6   t   24       8          5              0      HO   -11     9      4
 47403009   3   6   t   24       8          4              1      HO   -12     9      4
 47403409   3   6   t   24       8          3              0      HO   -13     9      4
 47403809   3   6   t   24       8          2              1      HO   -14     9      4
 47403C09   3   6   t   24       8          1              0      HO   -15     9      4
 4E240789   3   7   b   24      11          8              1     HOX   -15     9   -999
 4740040A   3  13   t   25       0          7              1      HO    -1    10      4
 4740080A   3   7   t   24      10          5              2      HO    -2    10      4
 47400C0A   3  13   t   25       0          7              0      HO    -3    10      4
 4740100A   3  13   t   25       0          7              2      HO    -4    10      4
 4E24020A   3   7   t   24      10          6              2     HOX    -4    10   -999
 4740140A   3   7   t   24      10          3              1      HO    -5    10      4
 4740180A   3   7   t   24      10          2              2      HO    -6    10      4
 47401C0A   3   7   t   24      10          1              1      HO    -7    10      4
 4740200A   3   6   t   24       8          8              2      HO    -8    10      4
 4740240A   3   6   t   24       8          7              1      HO    -9    10      4
 4740280A   3   6   t   24       8          6              2      HO   -10    10      4
 47402C0A   3   6   t   24       8          5              1      HO   -11    10      4
 4740300A   3   6   t   24       8          4              2      HO   -12    10      4
 4740340A   3   6   t   24       8          3              1      HO   -13    10      4
 4740380A   3   6   t   24       8          2              2      HO   -14    10      4
 47403C0A   3   6   t   24       8          1              1      HO   -15    10      4
 4E24078A   3   7   b   24      11          8              2     HOX   -15    10   -999
 4740040B   3  17   b   25       9          7              0      HO    -1    11      4
 4740080B   3  16   b   25       7          7              1      HO    -2    11      4
 47400C0B   3  17   b   25       9          7              1      HO    -3    11      4
 4740100B   3  17   b   25       9          7              2      HO    -4    11      4
 4740140B   3  16   b   25       7          3              1      HO    -5    11      4
 4740180B   3  16   b   25       7          2              2      HO    -6    11      4
 47401C0B   3  16   b   25       7          1              1      HO    -7    11      4
 4740200B   3  15   b   25       5          8              2      HO    -8    11      4
 4740240B   3  15   b   25       5          7              1      HO    -9    11      4
 4740280B   3  15   b   25       5          6              2      HO   -10    11      4
 47402C0B   3  15   b   25       5          5              1      HO   -11    11      4
 4740300B   3  15   b   25       5          4              2      HO   -12    11      4
 4740340B   3  15   b   25       5          3              1      HO   -13    11      4
 4740380B   3  15   b   25       5          2              2      HO   -14    11      4
 47403C0B   3  15   b   25       5          1              1      HO   -15    11      4
 4E24078B   3  17   b   25       9          8              2     HOX   -15    11   -999
 4740040C   3  17   b   25       9          6              1      HO    -1    12      4
 4740080C   3  16   b   25       7          6              2      HO    -2    12      4
 47400C0C   3  17   b   25       9          6              0      HO    -3    12      4
 4740100C   3  17   b   25       9          6              2      HO    -4    12      4
 4E24020C   3  16   b   25       7          7              2     HOX    -4    12   -999
 4740140C   3  16   b   25       7          3              0      HO    -5    12      4
 4740180C   3  16   b   25       7          2              1      HO    -6    12      4
 47401C0C   3  16   b   25       7          1              0      HO    -7    12      4
 4740200C   3  15   b   25       5          8              1      HO    -8    12      4
 4740240C   3  15   b   25       5          7              0      HO    -9    12      4
 4740280C   3  15   b   25       5          6              1      HO   -10    12      4
 47402C0C   3  15   b   25       5          5              0      HO   -11    12      4
 4740300C   3  15   b   25       5          4              1      HO   -12    12      4
 4740340C   3  15   b   25       5          3              0      HO   -13    12      4
 4740380C   3  15   b   25       5          2              1      HO   -14    12      4
 47403C0C   3  15   b   25       5          1              0      HO   -15    12      4
 4E24078C   3  17   b   25       9          8              1     HOX   -15    12   -999
 4740040D   3  17   b   25       9          5              0      HO    -1    13      4
 4740080D   3  16   b   25       7          4              1      HO    -2    13      4
 47400C0D   3  17   b   25       9          5              1      HO    -3    13      4
 4740100D   3  17   b   25       9          5              2      HO    -4    13      4
 4740140D   3  16   b   25       7          3              2      HO    -5    13      4
 4740180D   3  16   b   25       7          2              0      HO    -6    13      4
 47401C0D   3  16   b   25       7          1              2      HO    -7    13      4
 4740200D   3  15   b   25       5          8              0      HO    -8    13      4
 4740240D   3  15   b   25       5          7              2      HO    -9    13      4
 4740280D   3  15   b   25       5          6              0      HO   -10    13      4
 47402C0D   3  15   b   25       5          5              2      HO   -11    13      4
