## file created 06.Feb.2017 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4520700B  20   3   u    0       0         16              1      HE   -28    11      2
 4510740B  20   3   u    0       0         16              2      HE   -29    11      1
 4530700B  20   3   u    0       0         17              0      HE   -28    11      3
 4520600B  20   3   u    0       0         17              1      HE   -24    11      2
 4510600B  20   3   u    0       0         17              2      HE   -24    11      1
 45204C0C  20   3   u    0       0         18              0      HE   -19    12      2
 4510500C  20   3   u    0       0         18              1      HE   -20    12      1
 4520540B  20   3   u    0       0         18              2      HE   -21    11      2
 45104C0C  20   3   u    0       0         19              0      HE   -19    12      1
 4520500C  20   3   u    0       0         19              1      HE   -20    12      2
 4510540B  20   3   u    0       0         19              2      HE   -21    11      1
 45204C0B  20   3   u    0       0         20              0      HE   -19    11      2
 4510500B  20   3   u    0       0         20              1      HE   -20    11      1
 4520580B  20   3   u    0       0         20              2      HE   -22    11      2
 45104C0B  20   3   u    0       0         21              0      HE   -19    11      1
 4520500B  20   3   u    0       0         21              1      HE   -20    11      2
 4510580B  20   3   u    0       0         21              2      HE   -22    11      1
 4510700D  20   3   u    0       0          2              0      HE   -28    13      1
 4520700D  20   3   u    0       0          2              1      HE   -28    13      2
 4510740D  20   3   u    0       0          2              2      HE   -29    13      1
 4530700D  20   3   u    0       0          3              0      HE   -28    13      3
 4520600D  20   3   u    0       0          3              1      HE   -24    13      2
 4510600D  20   3   u    0       0          3              2      HE   -24    13      1
 45106C0D  20   3   u    0       0          4              0      HE   -27    13      1
 45206C0D  20   3   u    0       0          4              1      HE   -27    13      2
 4520740D  20   3   u    0       0          4              2      HE   -29    13      2
 45306C0D  20   3   u    0       0          5              0      HE   -27    13      3
 45205C0D  20   3   u    0       0          5              1      HE   -23    13      2
 45105C0D  20   3   u    0       0          5              2      HE   -23    13      1
 45204C0E  20   3   u    0       0          6              0      HE   -19    14      2
