## file created 06.Feb.2017 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 45286C13  21   9   u    0       0         16              1      HE    27    19      2
 45287413  21   9   u    0       0         16              2      HE    29    19      2
 45386C13  21   9   u    0       0         17              0      HE    27    19      3
 45285C13  21   9   u    0       0         17              1      HE    23    19      2
 45185C13  21   9   u    0       0         17              2      HE    23    19      1
 45284C13  21   9   u    0       0         18              0      HE    19    19      2
 45185013  21   9   u    0       0         18              1      HE    20    19      1
 45285813  21   9   u    0       0         18              2      HE    22    19      2
 45184C13  21   9   u    0       0         19              0      HE    19    19      1
 45285013  21   9   u    0       0         19              1      HE    20    19      2
 45185813  21   9   u    0       0         19              2      HE    22    19      1
 45284C14  21   9   u    0       0         20              0      HE    19    20      2
 45185014  21   9   u    0       0         20              1      HE    20    20      1
 45285413  21   9   u    0       0         20              2      HE    21    19      2
 45184C14  21   9   u    0       0         21              0      HE    19    20      1
 45285014  21   9   u    0       0         21              1      HE    20    20      2
 45185413  21   9   u    0       0         21              2      HE    21    19      1
 45186C15  21   9   u    0       0          2              0      HE    27    21      1
 45286C15  21   9   u    0       0          2              1      HE    27    21      2
 45287415  21   9   u    0       0          2              2      HE    29    21      2
 45386C15  21   9   u    0       0          3              0      HE    27    21      3
 45285C15  21   9   u    0       0          3              1      HE    23    21      2
 45185C15  21   9   u    0       0          3              2      HE    23    21      1
 45187015  21   9   u    0       0          4              0      HE    28    21      1
 45287015  21   9   u    0       0          4              1      HE    28    21      2
 45187415  21   9   u    0       0          4              2      HE    29    21      1
 45387015  21   9   u    0       0          5              0      HE    28    21      3
 45286015  21   9   u    0       0          5              1      HE    24    21      2
 45186015  21   9   u    0       0          5              2      HE    24    21      1
 45284C15  21   9   u    0       0          6              0      HE    19    21      2
 45185015  21   9   u    0       0          6              1      HE    20    21      1
 45285415  21   9   u    0       0          6              2      HE    21    21      2
 45184C15  21   9   u    0       0          7              0      HE    19    21      1
 45285015  21   9   u    0       0          7              1      HE    20    21      2
 45185415  21   9   u    0       0          7              2      HE    21    21      1
 45284C16  21   9   u    0       0          8              0      HE    19    22      2
 45185016  21   9   u    0       0          8              1      HE    20    22      1
 45285815  21   9   u    0       0          8              2      HE    22    21      2
 45184C16  21   9   u    0       0          9              0      HE    19    22      1
 45285016  21   9   u    0       0          9              1      HE    20    22      2
 45185815  21   9   u    0       0          9              2      HE    22    21      1
 43182C17  21  10   u    0       0         14              0      HB    11    23      1
 43181C17  21  10   u    0       0         14              1      HB     7    23      1
 43180C17  21  10   u    0       0         14              2      HB     3    23      1
 43181417  21  10   u    0       0         15              0      HB     5    23      1
 43180417  21  10   u    0       0         15              1      HB     1    23      1
 43182417  21  10   u    0       0         15              2      HB     9    23      1
 43182C18  21  10   u    0       0         16              0      HB    11    24      1
 43181C18  21  10   u    0       0         16              1      HB     7    24      1
 43180C18  21  10   u    0       0         16              2      HB     3    24      1
 43181418  21  10   u    0       0         17              0      HB     5    24      1
 43180418  21  10   u    0       0         17              1      HB     1    24      1
 43182418  21  10   u    0       0         17              2      HB     9    24      1
 43182817  21  10   u    0       0         18              0      HB    10    23      1
 43181817  21  10   u    0       0         18              1      HB     6    23      1
 43180817  21  10   u    0       0         18              2      HB     2    23      1
 43182017  21  10   u    0       0         19              0      HB     8    23      1
 43181017  21  10   u    0       0         19              1      HB     4    23      1
 43183017  21  10   u    0       0         19              2      HB    12    23      1
 43182818  21  10   u    0       0         20              0      HB    10    24      1
 43181818  21  10   u    0       0         20              1      HB     6    24      1
 43180818  21  10   u    0       0         20              2      HB     2    24      1
 43182018  21  10   u    0       0         21              0      HB     8    24      1
 43181018  21  10   u    0       0         21              1      HB     4    24      1
 43183018  21  10   u    0       0         21              2      HB    12    24      1
 43182C19  21  10   u    0       0          2              0      HB    11    25      1
 43181C19  21  10   u    0       0          2              1      HB     7    25      1
 43180C19  21  10   u    0       0          2              2      HB     3    25      1
 43181419  21  10   u    0       0          3              0      HB     5    25      1
 43180419  21  10   u    0       0          3              1      HB     1    25      1
 43182419  21  10   u    0       0          3              2      HB     9    25      1
 43182C1A  21  10   u    0       0          4              0      HB    11    26      1
 43181C1A  21  10   u    0       0          4              1      HB     7    26      1
 43180C1A  21  10   u    0       0          4              2      HB     3    26      1
 4318141A  21  10   u    0       0          5              0      HB     5    26      1
 4318041A  21  10   u    0       0          5              1      HB     1    26      1
 4318241A  21  10   u    0       0          5              2      HB     9    26      1
 43182819  21  10   u    0       0          6              0      HB    10    25      1
 43181819  21  10   u    0       0          6              1      HB     6    25      1
 43180819  21  10   u    0       0          6              2      HB     2    25      1
 43182019  21  10   u    0       0          7              0      HB     8    25      1
 43181019  21  10   u    0       0          7              1      HB     4    25      1
 43183019  21  10   u    0       0          7              2      HB    12    25      1
 4318281A  21  10   u    0       0          8              0      HB    10    26      1
 4318181A  21  10   u    0       0          8              1      HB     6    26      1
 4318081A  21  10   u    0       0          8              2      HB     2    26      1
 4318201A  21  10   u    0       0          9              0      HB     8    26      1
 4318101A  21  10   u    0       0          9              1      HB     4    26      1
 4318301A  21  10   u    0       0          9              2      HB    12    26      1
 43284017  21  11   u    0       0         14              0      HB    16    23      2
 43283C17  21  11   u    0       0         14              1      HB    15    23      2
 43183817  21  11   u    0       0         14              2      HB    14    23      1
 43183C17  21  11   u    0       0         15              0      HB    15    23      1
 43183417  21  11   u    0       0         15              1      HB    13    23      1
 43184017  21  11   u    0       0         15              2      HB    16    23      1
 43284018  21  11   u    0       0         16              0      HB    16    24      2
 43283C18  21  11   u    0       0         16              1      HB    15    24      2
 43183818  21  11   u    0       0         16              2      HB    14    24      1
 43183C18  21  11   u    0       0         17              0      HB    15    24      1
 43183418  21  11   u    0       0         17              1      HB    13    24      1
 43184018  21  11   u    0       0         17              2      HB    16    24      1
 45184417  21  11   u    0       0         18              0      HE    17    23      1
 45384017  21  11   u    0       0         18              1      HE    16    23      3
 45186817  21  11   u    0       0         18              2      HE    26    23      1
 45184817  21  11   u    0       0         19              0      HE    18    23      1
 45284817  21  11   u    0       0         19              1      HE    18    23      2
 45286817  21  11   u    0       0         19              2      HE    26    23      2
 45184418  21  11   u    0       0         20              0      HE    17    24      1
 45384018  21  11   u    0       0         20              1      HE    16    24      3
 45186417  21  11   u    0       0         20              2      HE    25    23      1
 45184818  21  11   u    0       0         21              0      HE    18    24      1
 45284818  21  11   u    0       0         21              1      HE    18    24      2
 45286417  21  11   u    0       0         21              2      HE    25    23      2
 43284019  21  11   u    0       0          2              0      HB    16    25      2
 43283C19  21  11   u    0       0          2              1      HB    15    25      2
 43183819  21  11   u    0       0          2              2      HB    14    25      1
 43183C19  21  11   u    0       0          3              0      HB    15    25      1
 43183419  21  11   u    0       0          3              1      HB    13    25      1
 43184019  21  11   u    0       0          3              2      HB    16    25      1
 4328401A  21  11   u    0       0          4              0      HB    16    26      2
 43283C1A  21  11   u    0       0          4              1      HB    15    26      2
 4318381A  21  11   u    0       0          4              2      HB    14    26      1
 43183C1A  21  11   u    0       0          5              0      HB    15    26      1
 4318341A  21  11   u    0       0          5              1      HB    13    26      1
 4318401A  21  11   u    0       0          5              2      HB    16    26      1
 45184419  21  11   u    0       0          6              0      HE    17    25      1
 45384019  21  11   u    0       0          6              1      HE    16    25      3
 45186419  21  11   u    0       0          6              2      HE    25    25      1
 45184819  21  11   u    0       0          7              0      HE    18    25      1
 45284819  21  11   u    0       0          7              1      HE    18    25      2
 45286419  21  11   u    0       0          7              2      HE    25    25      2
 4518441A  21  11   u    0       0          8              0      HE    17    26      1
 4538401A  21  11   u    0       0          8              1      HE    16    26      3
 45186819  21  11   u    0       0          8              2      HE    26    25      1
 4518481A  21  11   u    0       0          9              0      HE    18    26      1
 4528481A  21  11   u    0       0          9              1      HE    18    26      2
 45286819  21  11   u    0       0          9              2      HE    26    25      2
 45187017  21  12   u    0       0         14              0      HE    28    23      1
 45287017  21  12   u    0       0         14              1      HE    28    23      2
 45187417  21  12   u    0       0         14              2      HE    29    23      1
 45387017  21  12   u    0       0         15              0      HE    28    23      3
 45286017  21  12   u    0       0         15              1      HE    24    23      2
 45186017  21  12   u    0       0         15              2      HE    24    23      1
 45186C17  21  12   u    0       0         16              0      HE    27    23      1
 45286C17  21  12   u    0       0         16              1      HE    27    23      2
 45287417  21  12   u    0       0         16              2      HE    29    23      2
 45386C17  21  12   u    0       0         17              0      HE    27    23      3
 45285C17  21  12   u    0       0         17              1      HE    23    23      2
 45185C17  21  12   u    0       0         17              2      HE    23    23      1
 45284C17  21  12   u    0       0         18              0      HE    19    23      2
 45185017  21  12   u    0       0         18              1      HE    20    23      1
 45285817  21  12   u    0       0         18              2      HE    22    23      2
 45184C17  21  12   u    0       0         19              0      HE    19    23      1
 45285017  21  12   u    0       0         19              1      HE    20    23      2
 45185817  21  12   u    0       0         19              2      HE    22    23      1
 45284C18  21  12   u    0       0         20              0      HE    19    24      2
 45185018  21  12   u    0       0         20              1      HE    20    24      1
 45285417  21  12   u    0       0         20              2      HE    21    23      2
 45184C18  21  12   u    0       0         21              0      HE    19    24      1
 45285018  21  12   u    0       0         21              1      HE    20    24      2
 45185417  21  12   u    0       0         21              2      HE    21    23      1
 45186C19  21  12   u    0       0          2              0      HE    27    25      1
 45286C19  21  12   u    0       0          2              1      HE    27    25      2
 45287419  21  12   u    0       0          2              2      HE    29    25      2
 45386C19  21  12   u    0       0          3              0      HE    27    25      3
 45285C19  21  12   u    0       0          3              1      HE    23    25      2
 45185C19  21  12   u    0       0          3              2      HE    23    25      1
 45187019  21  12   u    0       0          4              0      HE    28    25      1
 45287019  21  12   u    0       0          4              1      HE    28    25      2
 45187419  21  12   u    0       0          4              2      HE    29    25      1
 45387019  21  12   u    0       0          5              0      HE    28    25      3
 45286019  21  12   u    0       0          5              1      HE    24    25      2
 45186019  21  12   u    0       0          5              2      HE    24    25      1
 45284C19  21  12   u    0       0          6              0      HE    19    25      2
 45185019  21  12   u    0       0          6              1      HE    20    25      1
 45285419  21  12   u    0       0          6              2      HE    21    25      2
 45184C19  21  12   u    0       0          7              0      HE    19    25      1
 45285019  21  12   u    0       0          7              1      HE    20    25      2
 45185419  21  12   u    0       0          7              2      HE    21    25      1
 45284C1A  21  12   u    0       0          8              0      HE    19    26      2
 4518501A  21  12   u    0       0          8              1      HE    20    26      1
 45285819  21  12   u    0       0          8              2      HE    22    25      2
 45184C1A  21  12   u    0       0          9              0      HE    19    26      1
 4528501A  21  12   u    0       0          9              1      HE    20    26      2
 45185819  21  12   u    0       0          9              2      HE    22    25      1
 43102C04  24   1   u    0       0         14              0      HB   -11     4      1
 43101C04  24   1   u    0       0         14              1      HB    -7     4      1
 43100C04  24   1   u    0       0         14              2      HB    -3     4      1
 43101404  24   1   u    0       0         15              0      HB    -5     4      1
 43100404  24   1   u    0       0         15              1      HB    -1     4      1
 43102404  24   1   u    0       0         15              2      HB    -9     4      1
 43102C03  24   1   u    0       0         16              0      HB   -11     3      1
 43101C03  24   1   u    0       0         16              1      HB    -7     3      1
 43100C03  24   1   u    0       0         16              2      HB    -3     3      1
 43101403  24   1   u    0       0         17              0      HB    -5     3      1
 43100403  24   1   u    0       0         17              1      HB    -1     3      1
 43102403  24   1   u    0       0         17              2      HB    -9     3      1
 43102804  24   1   u    0       0         18              0      HB   -10     4      1
 43101804  24   1   u    0       0         18              1      HB    -6     4      1
 43100804  24   1   u    0       0         18              2      HB    -2     4      1
 43102004  24   1   u    0       0         19              0      HB    -8     4      1
 43101004  24   1   u    0       0         19              1      HB    -4     4      1
 43103004  24   1   u    0       0         19              2      HB   -12     4      1
 43102803  24   1   u    0       0         20              0      HB   -10     3      1
 43101803  24   1   u    0       0         20              1      HB    -6     3      1
 43100803  24   1   u    0       0         20              2      HB    -2     3      1
 43102003  24   1   u    0       0         21              0      HB    -8     3      1
 43101003  24   1   u    0       0         21              1      HB    -4     3      1
 43103003  24   1   u    0       0         21              2      HB   -12     3      1
 43102C06  24   1   u    0       0          2              0      HB   -11     6      1
 43101C06  24   1   u    0       0          2              1      HB    -7     6      1
 43100C06  24   1   u    0       0          2              2      HB    -3     6      1
 43101406  24   1   u    0       0          3              0      HB    -5     6      1
 43100406  24   1   u    0       0          3              1      HB    -1     6      1
 43102406  24   1   u    0       0          3              2      HB    -9     6      1
 43102C05  24   1   u    0       0          4              0      HB   -11     5      1
 43101C05  24   1   u    0       0          4              1      HB    -7     5      1
 43100C05  24   1   u    0       0          4              2      HB    -3     5      1
 43101405  24   1   u    0       0          5              0      HB    -5     5      1
 43100405  24   1   u    0       0          5              1      HB    -1     5      1
 43102405  24   1   u    0       0          5              2      HB    -9     5      1
 43102806  24   1   u    0       0          6              0      HB   -10     6      1
 43101806  24   1   u    0       0          6              1      HB    -6     6      1
 43100806  24   1   u    0       0          6              2      HB    -2     6      1
 43102006  24   1   u    0       0          7              0      HB    -8     6      1
 43101006  24   1   u    0       0          7              1      HB    -4     6      1
 43103006  24   1   u    0       0          7              2      HB   -12     6      1
 43102805  24   1   u    0       0          8              0      HB   -10     5      1
 43101805  24   1   u    0       0          8              1      HB    -6     5      1
 43100805  24   1   u    0       0          8              2      HB    -2     5      1
 43102005  24   1   u    0       0          9              0      HB    -8     5      1
 43101005  24   1   u    0       0          9              1      HB    -4     5      1
 43103005  24   1   u    0       0          9              2      HB   -12     5      1
 43204004  24   2   u    0       0         14              0      HB   -16     4      2
 43203C04  24   2   u    0       0         14              1      HB   -15     4      2
 43103804  24   2   u    0       0         14              2      HB   -14     4      1
 43103C04  24   2   u    0       0         15              0      HB   -15     4      1
 43103404  24   2   u    0       0         15              1      HB   -13     4      1
 43104004  24   2   u    0       0         15              2      HB   -16     4      1
 43204003  24   2   u    0       0         16              0      HB   -16     3      2
 43203C03  24   2   u    0       0         16              1      HB   -15     3      2
 43103803  24   2   u    0       0         16              2      HB   -14     3      1
 43103C03  24   2   u    0       0         17              0      HB   -15     3      1
 43103403  24   2   u    0       0         17              1      HB   -13     3      1
 43104003  24   2   u    0       0         17              2      HB   -16     3      1
 45104404  24   2   u    0       0         18              0      HE   -17     4      1
 45304004  24   2   u    0       0         18              1      HE   -16     4      3
 45106403  24   2   u    0       0         18              2      HE   -25     3      1
 45104804  24   2   u    0       0         19              0      HE   -18     4      1
 45204804  24   2   u    0       0         19              1      HE   -18     4      2
 45206403  24   2   u    0       0         19              2      HE   -25     3      2
 45104403  24   2   u    0       0         20              0      HE   -17     3      1
 45304003  24   2   u    0       0         20              1      HE   -16     3      3
 45106803  24   2   u    0       0         20              2      HE   -26     3      1
 45104803  24   2   u    0       0         21              0      HE   -18     3      1
 45204803  24   2   u    0       0         21              1      HE   -18     3      2
 45206803  24   2   u    0       0         21              2      HE   -26     3      2
 43204006  24   2   u    0       0          2              0      HB   -16     6      2
 43203C06  24   2   u    0       0          2              1      HB   -15     6      2
 43103806  24   2   u    0       0          2              2      HB   -14     6      1
 43103C06  24   2   u    0       0          3              0      HB   -15     6      1
 43103406  24   2   u    0       0          3              1      HB   -13     6      1
 43104006  24   2   u    0       0          3              2      HB   -16     6      1
 43204005  24   2   u    0       0          4              0      HB   -16     5      2
 43203C05  24   2   u    0       0          4              1      HB   -15     5      2
 43103805  24   2   u    0       0          4              2      HB   -14     5      1
 43103C05  24   2   u    0       0          5              0      HB   -15     5      1
 43103405  24   2   u    0       0          5              1      HB   -13     5      1
 43104005  24   2   u    0       0          5              2      HB   -16     5      1
 45104406  24   2   u    0       0          6              0      HE   -17     6      1
 45304006  24   2   u    0       0          6              1      HE   -16     6      3
 45106805  24   2   u    0       0          6              2      HE   -26     5      1
 45104806  24   2   u    0       0          7              0      HE   -18     6      1
 45204806  24   2   u    0       0          7              1      HE   -18     6      2
 45206805  24   2   u    0       0          7              2      HE   -26     5      2
 45104405  24   2   u    0       0          8              0      HE   -17     5      1
 45304005  24   2   u    0       0          8              1      HE   -16     5      3
 45106405  24   2   u    0       0          8              2      HE   -25     5      1
 45104805  24   2   u    0       0          9              0      HE   -18     5      1
 45204805  24   2   u    0       0          9              1      HE   -18     5      2
 45206405  24   2   u    0       0          9              2      HE   -25     5      2
 45106C03  24   3   u    0       0         14              0      HE   -27     3      1
 45206C03  24   3   u    0       0         14              1      HE   -27     3      2
 45207403  24   3   u    0       0         14              2      HE   -29     3      2
 45306C03  24   3   u    0       0         15              0      HE   -27     3      3
 45205C03  24   3   u    0       0         15              1      HE   -23     3      2
 45105C03  24   3   u    0       0         15              2      HE   -23     3      1
 45107003  24   3   u    0       0         16              0      HE   -28     3      1
 45207003  24   3   u    0       0         16              1      HE   -28     3      2
 45107403  24   3   u    0       0         16              2      HE   -29     3      1
 45307003  24   3   u    0       0         17              0      HE   -28     3      3
 45206003  24   3   u    0       0         17              1      HE   -24     3      2
 45106003  24   3   u    0       0         17              2      HE   -24     3      1
 45204C04  24   3   u    0       0         18              0      HE   -19     4      2
 45105004  24   3   u    0       0         18              1      HE   -20     4      1
 45205403  24   3   u    0       0         18              2      HE   -21     3      2
 45104C04  24   3   u    0       0         19              0      HE   -19     4      1
 45205004  24   3   u    0       0         19              1      HE   -20     4      2
 45105403  24   3   u    0       0         19              2      HE   -21     3      1
 45204C03  24   3   u    0       0         20              0      HE   -19     3      2
 45105003  24   3   u    0       0         20              1      HE   -20     3      1
 45205803  24   3   u    0       0         20              2      HE   -22     3      2
 45104C03  24   3   u    0       0         21              0      HE   -19     3      1
 45205003  24   3   u    0       0         21              1      HE   -20     3      2
 45105803  24   3   u    0       0         21              2      HE   -22     3      1
 45107005  24   3   u    0       0          2              0      HE   -28     5      1
 45207005  24   3   u    0       0          2              1      HE   -28     5      2
 45107405  24   3   u    0       0          2              2      HE   -29     5      1
 45307005  24   3   u    0       0          3              0      HE   -28     5      3
 45206005  24   3   u    0       0          3              1      HE   -24     5      2
 45106005  24   3   u    0       0          3              2      HE   -24     5      1
 45106C05  24   3   u    0       0          4              0      HE   -27     5      1
 45206C05  24   3   u    0       0          4              1      HE   -27     5      2
 45207405  24   3   u    0       0          4              2      HE   -29     5      2
 45306C05  24   3   u    0       0          5              0      HE   -27     5      3
 45205C05  24   3   u    0       0          5              1      HE   -23     5      2
 45105C05  24   3   u    0       0          5              2      HE   -23     5      1
 45204C06  24   3   u    0       0          6              0      HE   -19     6      2
 45105006  24   3   u    0       0          6              1      HE   -20     6      1
 45205805  24   3   u    0       0          6              2      HE   -22     5      2
 45104C06  24   3   u    0       0          7              0      HE   -19     6      1
 45205006  24   3   u    0       0          7              1      HE   -20     6      2
 45105805  24   3   u    0       0          7              2      HE   -22     5      1
 45204C05  24   3   u    0       0          8              0      HE   -19     5      2
 45105005  24   3   u    0       0          8              1      HE   -20     5      1
 45205405  24   3   u    0       0          8              2      HE   -21     5      2
 45104C05  24   3   u    0       0          9              0      HE   -19     5      1
 45205005  24   3   u    0       0          9              1      HE   -20     5      2
 45105405  24   3   u    0       0          9              2      HE   -21     5      1
 43102C08  24   4   u    0       0         14              0      HB   -11     8      1
 43101C08  24   4   u    0       0         14              1      HB    -7     8      1
 43100C08  24   4   u    0       0         14              2      HB    -3     8      1
 43101408  24   4   u    0       0         15              0      HB    -5     8      1
 43100408  24   4   u    0       0         15              1      HB    -1     8      1
 43102408  24   4   u    0       0         15              2      HB    -9     8      1
 43102C07  24   4   u    0       0         16              0      HB   -11     7      1
 43101C07  24   4   u    0       0         16              1      HB    -7     7      1
 43100C07  24   4   u    0       0         16              2      HB    -3     7      1
 43101407  24   4   u    0       0         17              0      HB    -5     7      1
 43100407  24   4   u    0       0         17              1      HB    -1     7      1
 43102407  24   4   u    0       0         17              2      HB    -9     7      1
 43102808  24   4   u    0       0         18              0      HB   -10     8      1
 43101808  24   4   u    0       0         18              1      HB    -6     8      1
 43100808  24   4   u    0       0         18              2      HB    -2     8      1
 43102008  24   4   u    0       0         19              0      HB    -8     8      1
 43101008  24   4   u    0       0         19              1      HB    -4     8      1
 43103008  24   4   u    0       0         19              2      HB   -12     8      1
 43102807  24   4   u    0       0         20              0      HB   -10     7      1
 43101807  24   4   u    0       0         20              1      HB    -6     7      1
 43100807  24   4   u    0       0         20              2      HB    -2     7      1
 43102007  24   4   u    0       0         21              0      HB    -8     7      1
 43101007  24   4   u    0       0         21              1      HB    -4     7      1
 43103007  24   4   u    0       0         21              2      HB   -12     7      1
 43102C0A  24   4   u    0       0          2              0      HB   -11    10      1
 43101C0A  24   4   u    0       0          2              1      HB    -7    10      1
 43100C0A  24   4   u    0       0          2              2      HB    -3    10      1
 4310140A  24   4   u    0       0          3              0      HB    -5    10      1
 4310040A  24   4   u    0       0          3              1      HB    -1    10      1
 4310240A  24   4   u    0       0          3              2      HB    -9    10      1
 43102C09  24   4   u    0       0          4              0      HB   -11     9      1
 43101C09  24   4   u    0       0          4              1      HB    -7     9      1
 43100C09  24   4   u    0       0          4              2      HB    -3     9      1
 43101409  24   4   u    0       0          5              0      HB    -5     9      1
 43100409  24   4   u    0       0          5              1      HB    -1     9      1
 43102409  24   4   u    0       0          5              2      HB    -9     9      1
 4310280A  24   4   u    0       0          6              0      HB   -10    10      1
 4310180A  24   4   u    0       0          6              1      HB    -6    10      1
 4310080A  24   4   u    0       0          6              2      HB    -2    10      1
 4310200A  24   4   u    0       0          7              0      HB    -8    10      1
 4310100A  24   4   u    0       0          7              1      HB    -4    10      1
 4310300A  24   4   u    0       0          7              2      HB   -12    10      1
 43102809  24   4   u    0       0          8              0      HB   -10     9      1
 43101809  24   4   u    0       0          8              1      HB    -6     9      1
 43100809  24   4   u    0       0          8              2      HB    -2     9      1
 43102009  24   4   u    0       0          9              0      HB    -8     9      1
 43101009  24   4   u    0       0          9              1      HB    -4     9      1
 43103009  24   4   u    0       0          9              2      HB   -12     9      1
 43204008  24   5   u    0       0         14              0      HB   -16     8      2
 43203C08  24   5   u    0       0         14              1      HB   -15     8      2
 43103808  24   5   u    0       0         14              2      HB   -14     8      1
 43103C08  24   5   u    0       0         15              0      HB   -15     8      1
 43103408  24   5   u    0       0         15              1      HB   -13     8      1
 43104008  24   5   u    0       0         15              2      HB   -16     8      1
 43204007  24   5   u    0       0         16              0      HB   -16     7      2
 43203C07  24   5   u    0       0         16              1      HB   -15     7      2
 43103807  24   5   u    0       0         16              2      HB   -14     7      1
 43103C07  24   5   u    0       0         17              0      HB   -15     7      1
 43103407  24   5   u    0       0         17              1      HB   -13     7      1
 43104007  24   5   u    0       0         17              2      HB   -16     7      1
 45104408  24   5   u    0       0         18              0      HE   -17     8      1
 45304008  24   5   u    0       0         18              1      HE   -16     8      3
 45106407  24   5   u    0       0         18              2      HE   -25     7      1
 45104808  24   5   u    0       0         19              0      HE   -18     8      1
 45204808  24   5   u    0       0         19              1      HE   -18     8      2
 45206407  24   5   u    0       0         19              2      HE   -25     7      2
 45104407  24   5   u    0       0         20              0      HE   -17     7      1
 45304007  24   5   u    0       0         20              1      HE   -16     7      3
 45106807  24   5   u    0       0         20              2      HE   -26     7      1
 45104807  24   5   u    0       0         21              0      HE   -18     7      1
 45204807  24   5   u    0       0         21              1      HE   -18     7      2
 45206807  24   5   u    0       0         21              2      HE   -26     7      2
 4320400A  24   5   u    0       0          2              0      HB   -16    10      2
 43203C0A  24   5   u    0       0          2              1      HB   -15    10      2
 4310380A  24   5   u    0       0          2              2      HB   -14    10      1
 43103C0A  24   5   u    0       0          3              0      HB   -15    10      1
 4310340A  24   5   u    0       0          3              1      HB   -13    10      1
 4310400A  24   5   u    0       0          3              2      HB   -16    10      1
 43204009  24   5   u    0       0          4              0      HB   -16     9      2
 43203C09  24   5   u    0       0          4              1      HB   -15     9      2
 43103809  24   5   u    0       0          4              2      HB   -14     9      1
 43103C09  24   5   u    0       0          5              0      HB   -15     9      1
 43103409  24   5   u    0       0          5              1      HB   -13     9      1
 43104009  24   5   u    0       0          5              2      HB   -16     9      1
 4510440A  24   5   u    0       0          6              0      HE   -17    10      1
 4530400A  24   5   u    0       0          6              1      HE   -16    10      3
 45106809  24   5   u    0       0          6              2      HE   -26     9      1
 4510480A  24   5   u    0       0          7              0      HE   -18    10      1
 4520480A  24   5   u    0       0          7              1      HE   -18    10      2
 45206809  24   5   u    0       0          7              2      HE   -26     9      2
 45104409  24   5   u    0       0          8              0      HE   -17     9      1
 45304009  24   5   u    0       0          8              1      HE   -16     9      3
 45106409  24   5   u    0       0          8              2      HE   -25     9      1
 45104809  24   5   u    0       0          9              0      HE   -18     9      1
 45204809  24   5   u    0       0          9              1      HE   -18     9      2
 45206409  24   5   u    0       0          9              2      HE   -25     9      2
 45106C07  24   6   u    0       0         14              0      HE   -27     7      1
 45206C07  24   6   u    0       0         14              1      HE   -27     7      2
 45207407  24   6   u    0       0         14              2      HE   -29     7      2
 45306C07  24   6   u    0       0         15              0      HE   -27     7      3
 45205C07  24   6   u    0       0         15              1      HE   -23     7      2
 45105C07  24   6   u    0       0         15              2      HE   -23     7      1
 45107007  24   6   u    0       0         16              0      HE   -28     7      1
 45207007  24   6   u    0       0         16              1      HE   -28     7      2
 45107407  24   6   u    0       0         16              2      HE   -29     7      1
 45307007  24   6   u    0       0         17              0      HE   -28     7      3
 45206007  24   6   u    0       0         17              1      HE   -24     7      2
 45106007  24   6   u    0       0         17              2      HE   -24     7      1
 45204C08  24   6   u    0       0         18              0      HE   -19     8      2
 45105008  24   6   u    0       0         18              1      HE   -20     8      1
 45205407  24   6   u    0       0         18              2      HE   -21     7      2
 45104C08  24   6   u    0       0         19              0      HE   -19     8      1
 45205008  24   6   u    0       0         19              1      HE   -20     8      2
 45105407  24   6   u    0       0         19              2      HE   -21     7      1
 45204C07  24   6   u    0       0         20              0      HE   -19     7      2
 45105007  24   6   u    0       0         20              1      HE   -20     7      1
 45205807  24   6   u    0       0         20              2      HE   -22     7      2
 45104C07  24   6   u    0       0         21              0      HE   -19     7      1
 45205007  24   6   u    0       0         21              1      HE   -20     7      2
 45105807  24   6   u    0       0         21              2      HE   -22     7      1
 45107009  24   6   u    0       0          2              0      HE   -28     9      1
 45207009  24   6   u    0       0          2              1      HE   -28     9      2
 45107409  24   6   u    0       0          2              2      HE   -29     9      1
 45307009  24   6   u    0       0          3              0      HE   -28     9      3
 45206009  24   6   u    0       0          3              1      HE   -24     9      2
 45106009  24   6   u    0       0          3              2      HE   -24     9      1
 45106C09  24   6   u    0       0          4              0      HE   -27     9      1
 45206C09  24   6   u    0       0          4              1      HE   -27     9      2
 45207409  24   6   u    0       0          4              2      HE   -29     9      2
 45306C09  24   6   u    0       0          5              0      HE   -27     9      3
 45205C09  24   6   u    0       0          5              1      HE   -23     9      2
 45105C09  24   6   u    0       0          5              2      HE   -23     9      1
 45204C0A  24   6   u    0       0          6              0      HE   -19    10      2
 4510500A  24   6   u    0       0          6              1      HE   -20    10      1
 45205809  24   6   u    0       0          6              2      HE   -22     9      2
 45104C0A  24   6   u    0       0          7              0      HE   -19    10      1
 4520500A  24   6   u    0       0          7              1      HE   -20    10      2
 45105809  24   6   u    0       0          7              2      HE   -22     9      1
 45204C09  24   6   u    0       0          8              0      HE   -19     9      2
 45105009  24   6   u    0       0          8              1      HE   -20     9      1
 45205409  24   6   u    0       0          8              2      HE   -21     9      2
 45104C09  24   6   u    0       0          9              0      HE   -19     9      1
 45205009  24   6   u    0       0          9              1      HE   -20     9      2
 45105409  24   6   u    0       0          9              2      HE   -21     9      1
 43182C03  24   7   u    0       0         14              0      HB    11     3      1
 43181C03  24   7   u    0       0         14              1      HB     7     3      1
 43180C03  24   7   u    0       0         14              2      HB     3     3      1
 43181403  24   7   u    0       0         15              0      HB     5     3      1
 43180403  24   7   u    0       0         15              1      HB     1     3      1
 43182403  24   7   u    0       0         15              2      HB     9     3      1
 43182C04  24   7   u    0       0         16              0      HB    11     4      1
