#file created 17.Jun.2016
#Writing HCAL Front End Map... IOV C
#      eta      phi    depth   subdet      rbx       rm
         4       10        1       HB    HBP03        4
        12       10        1       HB    HBP03        4
        16        7        2       HB    HBP03        1
        15        7        2       HB    HBP03        1
        14        7        1       HB    HBP03        1
        15        7        1       HB    HBP03        1
        13        7        1       HB    HBP03        1
        16        7        1       HB    HBP03        1
        16        8        2       HB    HBP03        2
        15        8        2       HB    HBP03        2
        14        8        1       HB    HBP03        2
        15        8        1       HB    HBP03        2
        13        8        1       HB    HBP03        2
        16        8        1       HB    HBP03        2
        17        7        1       HE    HEP03        1
        16        7        3       HE    HEP03        1
        26        7        1       HE    HEP03        1
        18        7        1       HE    HEP03        1
        18        7        2       HE    HEP03        1
        26        7        2       HE    HEP03        1
        17        8        1       HE    HEP03        2
        16        8        3       HE    HEP03        2
        25        7        1       HE    HEP03        2
        18        8        1       HE    HEP03        2
        18        8        2       HE    HEP03        2
        25        7        2       HE    HEP03        2
        16        9        2       HB    HBP03        3
        15        9        2       HB    HBP03        3
        14        9        1       HB    HBP03        3
        15        9        1       HB    HBP03        3
        13        9        1       HB    HBP03        3
        16        9        1       HB    HBP03        3
        16       10        2       HB    HBP03        4
        15       10        2       HB    HBP03        4
        14       10        1       HB    HBP03        4
        15       10        1       HB    HBP03        4
        13       10        1       HB    HBP03        4
        16       10        1       HB    HBP03        4
        17        9        1       HE    HEP03        3
        16        9        3       HE    HEP03        3
        25        9        1       HE    HEP03        3
        18        9        1       HE    HEP03        3
        18        9        2       HE    HEP03        3
        25        9        2       HE    HEP03        3
        17       10        1       HE    HEP03        4
        16       10        3       HE    HEP03        4
        26        9        1       HE    HEP03        4
        18       10        1       HE    HEP03        4
        18       10        2       HE    HEP03        4
        26        9        2       HE    HEP03        4
        28        7        1       HE    HEP03        1
        28        7        2       HE    HEP03        1
        29        7        1       HE    HEP03        1
        28        7        3       HE    HEP03        1
        24        7        2       HE    HEP03        1
        24        7        1       HE    HEP03        1
        27        7        1       HE    HEP03        2
        27        7        2       HE    HEP03        2
        29        7        2       HE    HEP03        2
        27        7        3       HE    HEP03        2
        23        7        2       HE    HEP03        2
        23        7        1       HE    HEP03        2
        19        7        2       HE    HEP03        1
        20        7        1       HE    HEP03        1
        22        7        2       HE    HEP03        1
        19        7        1       HE    HEP03        1
        20        7        2       HE    HEP03        1
        22        7        1       HE    HEP03        1
        19        8        2       HE    HEP03        2
        20        8        1       HE    HEP03        2
        21        7        2       HE    HEP03        2
        19        8        1       HE    HEP03        2
        20        8        2       HE    HEP03        2
        21        7        1       HE    HEP03        2
        27        9        1       HE    HEP03        3
        27        9        2       HE    HEP03        3
        29        9        2       HE    HEP03        3
        27        9        3       HE    HEP03        3
        23        9        2       HE    HEP03        3
        23        9        1       HE    HEP03        3
        28        9        1       HE    HEP03        4
        28        9        2       HE    HEP03        4
        29        9        1       HE    HEP03        4
        28        9        3       HE    HEP03        4
        24        9        2       HE    HEP03        4
        24        9        1       HE    HEP03        4
        19        9        2       HE    HEP03        3
        20        9        1       HE    HEP03        3
        21        9        2       HE    HEP03        3
        19        9        1       HE    HEP03        3
        20        9        2       HE    HEP03        3
        21        9        1       HE    HEP03        3
        19       10        2       HE    HEP03        4
        20       10        1       HE    HEP03        4
        22        9        2       HE    HEP03        4
        19       10        1       HE    HEP03        4
        20       10        2       HE    HEP03        4
        22        9        1       HE    HEP03        4
       -11       28        1       HB    HBM08        3
        -7       28        1       HB    HBM08        3
        -3       28        1       HB    HBM08        3
        -5       28        1       HB    HBM08        3
        -1       28        1       HB    HBM08        3
        -9       28        1       HB    HBM08        3
       -11       27        1       HB    HBM08        4
        -7       27        1       HB    HBM08        4
        -3       27        1       HB    HBM08        4
        -5       27        1       HB    HBM08        4
        -1       27        1       HB    HBM08        4
        -9       27        1       HB    HBM08        4
       -10       28        1       HB    HBM08        3
        -6       28        1       HB    HBM08        3
        -2       28        1       HB    HBM08        3
        -8       28        1       HB    HBM08        3
        -4       28        1       HB    HBM08        3
       -12       28        1       HB    HBM08        3
       -10       27        1       HB    HBM08        4
        -6       27        1       HB    HBM08        4
        -2       27        1       HB    HBM08        4
        -8       27        1       HB    HBM08        4
        -4       27        1       HB    HBM08        4
       -12       27        1       HB    HBM08        4
       -11       30        1       HB    HBM08        1
        -7       30        1       HB    HBM08        1
        -3       30        1       HB    HBM08        1
        -5       30        1       HB    HBM08        1
        -1       30        1       HB    HBM08        1
        -9       30        1       HB    HBM08        1
       -11       29        1       HB    HBM08        2
        -7       29        1       HB    HBM08        2
        -3       29        1       HB    HBM08        2
        -5       29        1       HB    HBM08        2
        -1       29        1       HB    HBM08        2
        -9       29        1       HB    HBM08        2
       -10       30        1       HB    HBM08        1
        -6       30        1       HB    HBM08        1
        -2       30        1       HB    HBM08        1
        -8       30        1       HB    HBM08        1
        -4       30        1       HB    HBM08        1
       -12       30        1       HB    HBM08        1
       -10       29        1       HB    HBM08        2
        -6       29        1       HB    HBM08        2
        -2       29        1       HB    HBM08        2
        -8       29        1       HB    HBM08        2
        -4       29        1       HB    HBM08        2
       -12       29        1       HB    HBM08        2
       -16       28        2       HB    HBM08        3
       -15       28        2       HB    HBM08        3
       -14       28        1       HB    HBM08        3
       -15       28        1       HB    HBM08        3
       -13       28        1       HB    HBM08        3
       -16       28        1       HB    HBM08        3
       -16       27        2       HB    HBM08        4
       -15       27        2       HB    HBM08        4
       -14       27        1       HB    HBM08        4
       -15       27        1       HB    HBM08        4
       -13       27        1       HB    HBM08        4
       -16       27        1       HB    HBM08        4
       -17       28        1       HE    HEM08        3
       -16       28        3       HE    HEM08        3
       -25       27        1       HE    HEM08        3
       -18       28        1       HE    HEM08        3
       -18       28        2       HE    HEM08        3
       -25       27        2       HE    HEM08        3
       -17       27        1       HE    HEM08        4
       -16       27        3       HE    HEM08        4
       -26       27        1       HE    HEM08        4
       -18       27        1       HE    HEM08        4
       -18       27        2       HE    HEM08        4
       -26       27        2       HE    HEM08        4
       -16       30        2       HB    HBM08        1
       -15       30        2       HB    HBM08        1
       -14       30        1       HB    HBM08        1
       -15       30        1       HB    HBM08        1
       -13       30        1       HB    HBM08        1
       -16       30        1       HB    HBM08        1
       -16       29        2       HB    HBM08        2
       -15       29        2       HB    HBM08        2
       -14       29        1       HB    HBM08        2
       -15       29        1       HB    HBM08        2
       -13       29        1       HB    HBM08        2
       -16       29        1       HB    HBM08        2
       -17       30        1       HE    HEM08        1
       -16       30        3       HE    HEM08        1
       -26       29        1       HE    HEM08        1
       -18       30        1       HE    HEM08        1
       -18       30        2       HE    HEM08        1
       -26       29        2       HE    HEM08        1
       -17       29        1       HE    HEM08        2
       -16       29        3       HE    HEM08        2
       -25       29        1       HE    HEM08        2
       -18       29        1       HE    HEM08        2
       -18       29        2       HE    HEM08        2
       -25       29        2       HE    HEM08        2
       -27       27        1       HE    HEM08        3
       -27       27        2       HE    HEM08        3
       -29       27        2       HE    HEM08        3
       -27       27        3       HE    HEM08        3
       -23       27        2       HE    HEM08        3
       -23       27        1       HE    HEM08        3
       -28       27        1       HE    HEM08        4
       -28       27        2       HE    HEM08        4
       -29       27        1       HE    HEM08        4
       -28       27        3       HE    HEM08        4
       -24       27        2       HE    HEM08        4
       -24       27        1       HE    HEM08        4
       -19       28        2       HE    HEM08        3
       -20       28        1       HE    HEM08        3
       -21       27        2       HE    HEM08        3
       -19       28        1       HE    HEM08        3
       -20       28        2       HE    HEM08        3
       -21       27        1       HE    HEM08        3
       -19       27        2       HE    HEM08        4
       -20       27        1       HE    HEM08        4
       -22       27        2       HE    HEM08        4
       -19       27        1       HE    HEM08        4
       -20       27        2       HE    HEM08        4
       -22       27        1       HE    HEM08        4
       -28       29        1       HE    HEM08        1
       -28       29        2       HE    HEM08        1
       -29       29        1       HE    HEM08        1
       -28       29        3       HE    HEM08        1
       -24       29        2       HE    HEM08        1
       -24       29        1       HE    HEM08        1
       -27       29        1       HE    HEM08        2
       -27       29        2       HE    HEM08        2
       -29       29        2       HE    HEM08        2
       -27       29        3       HE    HEM08        2
       -23       29        2       HE    HEM08        2
       -23       29        1       HE    HEM08        2
       -19       30        2       HE    HEM08        1
       -20       30        1       HE    HEM08        1
       -22       29        2       HE    HEM08        1
       -19       30        1       HE    HEM08        1
       -20       30        2       HE    HEM08        1
       -22       29        1       HE    HEM08        1
       -19       29        2       HE    HEM08        2
       -20       29        1       HE    HEM08        2
       -21       29        2       HE    HEM08        2
       -19       29        1       HE    HEM08        2
       -20       29        2       HE    HEM08        2
       -21       29        1       HE    HEM08        2
       -11       32        1       HB    HBM09        3
        -7       32        1       HB    HBM09        3
        -3       32        1       HB    HBM09        3
        -5       32        1       HB    HBM09        3
        -1       32        1       HB    HBM09        3
        -9       32        1       HB    HBM09        3
       -11       31        1       HB    HBM09        4
        -7       31        1       HB    HBM09        4
        -3       31        1       HB    HBM09        4
        -5       31        1       HB    HBM09        4
        -1       31        1       HB    HBM09        4
        -9       31        1       HB    HBM09        4
       -10       32        1       HB    HBM09        3
        -6       32        1       HB    HBM09        3
        -2       32        1       HB    HBM09        3
        -8       32        1       HB    HBM09        3
        -4       32        1       HB    HBM09        3
       -12       32        1       HB    HBM09        3
       -10       31        1       HB    HBM09        4
        -6       31        1       HB    HBM09        4
        -2       31        1       HB    HBM09        4
        -8       31        1       HB    HBM09        4
        -4       31        1       HB    HBM09        4
       -12       31        1       HB    HBM09        4
       -11       34        1       HB    HBM09        1
        -7       34        1       HB    HBM09        1
        -3       34        1       HB    HBM09        1
        -5       34        1       HB    HBM09        1
        -1       34        1       HB    HBM09        1
        -9       34        1       HB    HBM09        1
       -11       33        1       HB    HBM09        2
        -7       33        1       HB    HBM09        2
        -3       33        1       HB    HBM09        2
        -5       33        1       HB    HBM09        2
        -1       33        1       HB    HBM09        2
        -9       33        1       HB    HBM09        2
       -10       34        1       HB    HBM09        1
        -6       34        1       HB    HBM09        1
        -2       34        1       HB    HBM09        1
        -8       34        1       HB    HBM09        1
        -4       34        1       HB    HBM09        1
       -12       34        1       HB    HBM09        1
       -10       33        1       HB    HBM09        2
        -6       33        1       HB    HBM09        2
        -2       33        1       HB    HBM09        2
        -8       33        1       HB    HBM09        2
        -4       33        1       HB    HBM09        2
       -12       33        1       HB    HBM09        2
       -16       32        2       HB    HBM09        3
       -15       32        2       HB    HBM09        3
       -14       32        1       HB    HBM09        3
       -15       32        1       HB    HBM09        3
       -13       32        1       HB    HBM09        3
       -16       32        1       HB    HBM09        3
       -16       31        2       HB    HBM09        4
       -15       31        2       HB    HBM09        4
       -14       31        1       HB    HBM09        4
       -15       31        1       HB    HBM09        4
       -13       31        1       HB    HBM09        4
       -16       31        1       HB    HBM09        4
       -17       32        1       HE    HEM09        3
       -16       32        3       HE    HEM09        3
       -25       31        1       HE    HEM09        3
       -18       32        1       HE    HEM09        3
       -18       32        2       HE    HEM09        3
       -25       31        2       HE    HEM09        3
       -17       31        1       HE    HEM09        4
       -16       31        3       HE    HEM09        4
       -26       31        1       HE    HEM09        4
       -18       31        1       HE    HEM09        4
       -18       31        2       HE    HEM09        4
       -26       31        2       HE    HEM09        4
       -16       34        2       HB    HBM09        1
       -15       34        2       HB    HBM09        1
       -14       34        1       HB    HBM09        1
       -15       34        1       HB    HBM09        1
       -13       34        1       HB    HBM09        1
       -16       34        1       HB    HBM09        1
       -16       33        2       HB    HBM09        2
       -15       33        2       HB    HBM09        2
       -14       33        1       HB    HBM09        2
       -15       33        1       HB    HBM09        2
       -13       33        1       HB    HBM09        2
       -16       33        1       HB    HBM09        2
       -17       34        1       HE    HEM09        1
       -16       34        3       HE    HEM09        1
       -26       33        1       HE    HEM09        1
       -18       34        1       HE    HEM09        1
       -18       34        2       HE    HEM09        1
       -26       33        2       HE    HEM09        1
       -17       33        1       HE    HEM09        2
       -16       33        3       HE    HEM09        2
       -25       33        1       HE    HEM09        2
       -18       33        1       HE    HEM09        2
       -18       33        2       HE    HEM09        2
       -25       33        2       HE    HEM09        2
       -27       31        1       HE    HEM09        3
       -27       31        2       HE    HEM09        3
       -29       31        2       HE    HEM09        3
       -27       31        3       HE    HEM09        3
       -23       31        2       HE    HEM09        3
       -23       31        1       HE    HEM09        3
       -28       31        1       HE    HEM09        4
       -28       31        2       HE    HEM09        4
       -29       31        1       HE    HEM09        4
       -28       31        3       HE    HEM09        4
       -24       31        2       HE    HEM09        4
       -24       31        1       HE    HEM09        4
       -19       32        2       HE    HEM09        3
       -20       32        1       HE    HEM09        3
       -21       31        2       HE    HEM09        3
       -19       32        1       HE    HEM09        3
       -20       32        2       HE    HEM09        3
       -21       31        1       HE    HEM09        3
       -19       31        2       HE    HEM09        4
       -20       31        1       HE    HEM09        4
       -22       31        2       HE    HEM09        4
       -19       31        1       HE    HEM09        4
       -20       31        2       HE    HEM09        4
       -22       31        1       HE    HEM09        4
       -28       33        1       HE    HEM09        1
       -28       33        2       HE    HEM09        1
       -29       33        1       HE    HEM09        1
       -28       33        3       HE    HEM09        1
       -24       33        2       HE    HEM09        1
       -24       33        1       HE    HEM09        1
       -27       33        1       HE    HEM09        2
       -27       33        2       HE    HEM09        2
       -29       33        2       HE    HEM09        2
       -27       33        3       HE    HEM09        2
       -23       33        2       HE    HEM09        2
       -23       33        1       HE    HEM09        2
       -19       34        2       HE    HEM09        1
       -20       34        1       HE    HEM09        1
       -22       33        2       HE    HEM09        1
       -19       34        1       HE    HEM09        1
       -20       34        2       HE    HEM09        1
       -22       33        1       HE    HEM09        1
       -19       33        2       HE    HEM09        2
       -20       33        1       HE    HEM09        2
       -21       33        2       HE    HEM09        2
       -19       33        1       HE    HEM09        2
       -20       33        2       HE    HEM09        2
       -21       33        1       HE    HEM09        2
        11       27        1       HB    HBP08        1
         7       27        1       HB    HBP08        1
         3       27        1       HB    HBP08        1
         5       27        1       HB    HBP08        1
         1       27        1       HB    HBP08        1
         9       27        1       HB    HBP08        1
        11       28        1       HB    HBP08        2
         7       28        1       HB    HBP08        2
         3       28        1       HB    HBP08        2
         5       28        1       HB    HBP08        2
         1       28        1       HB    HBP08        2
         9       28        1       HB    HBP08        2
        10       27        1       HB    HBP08        1
         6       27        1       HB    HBP08        1
         2       27        1       HB    HBP08        1
         8       27        1       HB    HBP08        1
         4       27        1       HB    HBP08        1
        12       27        1       HB    HBP08        1
        10       28        1       HB    HBP08        2
         6       28        1       HB    HBP08        2
         2       28        1       HB    HBP08        2
         8       28        1       HB    HBP08        2
         4       28        1       HB    HBP08        2
        12       28        1       HB    HBP08        2
        11       29        1       HB    HBP08        3
         7       29        1       HB    HBP08        3
         3       29        1       HB    HBP08        3
         5       29        1       HB    HBP08        3
         1       29        1       HB    HBP08        3
         9       29        1       HB    HBP08        3
        11       30        1       HB    HBP08        4
         7       30        1       HB    HBP08        4
         3       30        1       HB    HBP08        4
         5       30        1       HB    HBP08        4
         1       30        1       HB    HBP08        4
         9       30        1       HB    HBP08        4
        10       29        1       HB    HBP08        3
         6       29        1       HB    HBP08        3
         2       29        1       HB    HBP08        3
         8       29        1       HB    HBP08        3
         4       29        1       HB    HBP08        3
        12       29        1       HB    HBP08        3
        10       30        1       HB    HBP08        4
         6       30        1       HB    HBP08        4
         2       30        1       HB    HBP08        4
         8       30        1       HB    HBP08        4
         4       30        1       HB    HBP08        4
        12       30        1       HB    HBP08        4
        16       27        2       HB    HBP08        1
        15       27        2       HB    HBP08        1
        14       27        1       HB    HBP08        1
        15       27        1       HB    HBP08        1
        13       27        1       HB    HBP08        1
        16       27        1       HB    HBP08        1
        16       28        2       HB    HBP08        2
        15       28        2       HB    HBP08        2
        14       28        1       HB    HBP08        2
        15       28        1       HB    HBP08        2
        13       28        1       HB    HBP08        2
        16       28        1       HB    HBP08        2
        17       27        1       HE    HEP08        1
        16       27        3       HE    HEP08        1
        26       27        1       HE    HEP08        1
        18       27        1       HE    HEP08        1
        18       27        2       HE    HEP08        1
        26       27        2       HE    HEP08        1
        17       28        1       HE    HEP08        2
        16       28        3       HE    HEP08        2
        25       27        1       HE    HEP08        2
        18       28        1       HE    HEP08        2
        18       28        2       HE    HEP08        2
        25       27        2       HE    HEP08        2
        16       29        2       HB    HBP08        3
        15       29        2       HB    HBP08        3
        14       29        1       HB    HBP08        3
        15       29        1       HB    HBP08        3
        13       29        1       HB    HBP08        3
        16       29        1       HB    HBP08        3
        16       30        2       HB    HBP08        4
        15       30        2       HB    HBP08        4
        14       30        1       HB    HBP08        4
        15       30        1       HB    HBP08        4
        13       30        1       HB    HBP08        4
        16       30        1       HB    HBP08        4
        17       29        1       HE    HEP08        3
        16       29        3       HE    HEP08        3
        25       29        1       HE    HEP08        3
        18       29        1       HE    HEP08        3
        18       29        2       HE    HEP08        3
        25       29        2       HE    HEP08        3
        17       30        1       HE    HEP08        4
        16       30        3       HE    HEP08        4
        26       29        1       HE    HEP08        4
        18       30        1       HE    HEP08        4
        18       30        2       HE    HEP08        4
        26       29        2       HE    HEP08        4
        28       27        1       HE    HEP08        1
        28       27        2       HE    HEP08        1
        29       27        1       HE    HEP08        1
        28       27        3       HE    HEP08        1
        24       27        2       HE    HEP08        1
        24       27        1       HE    HEP08        1
        27       27        1       HE    HEP08        2
        27       27        2       HE    HEP08        2
        29       27        2       HE    HEP08        2
        27       27        3       HE    HEP08        2
        23       27        2       HE    HEP08        2
        23       27        1       HE    HEP08        2
        19       27        2       HE    HEP08        1
        20       27        1       HE    HEP08        1
        22       27        2       HE    HEP08        1
        19       27        1       HE    HEP08        1
        20       27        2       HE    HEP08        1
        22       27        1       HE    HEP08        1
        19       28        2       HE    HEP08        2
        20       28        1       HE    HEP08        2
        21       27        2       HE    HEP08        2
        19       28        1       HE    HEP08        2
        20       28        2       HE    HEP08        2
        21       27        1       HE    HEP08        2
        27       29        1       HE    HEP08        3
        27       29        2       HE    HEP08        3
        29       29        2       HE    HEP08        3
        27       29        3       HE    HEP08        3
        23       29        2       HE    HEP08        3
        23       29        1       HE    HEP08        3
        28       29        1       HE    HEP08        4
        28       29        2       HE    HEP08        4
        29       29        1       HE    HEP08        4
        28       29        3       HE    HEP08        4
        24       29        2       HE    HEP08        4
        24       29        1       HE    HEP08        4
        19       29        2       HE    HEP08        3
        20       29        1       HE    HEP08        3
        21       29        2       HE    HEP08        3
        19       29        1       HE    HEP08        3
        20       29        2       HE    HEP08        3
        21       29        1       HE    HEP08        3
        19       30        2       HE    HEP08        4
        20       30        1       HE    HEP08        4
        22       29        2       HE    HEP08        4
        19       30        1       HE    HEP08        4
        20       30        2       HE    HEP08        4
        22       29        1       HE    HEP08        4
        11       31        1       HB    HBP09        1
         7       31        1       HB    HBP09        1
         3       31        1       HB    HBP09        1
         5       31        1       HB    HBP09        1
         1       31        1       HB    HBP09        1
         9       31        1       HB    HBP09        1
        11       32        1       HB    HBP09        2
         7       32        1       HB    HBP09        2
         3       32        1       HB    HBP09        2
         5       32        1       HB    HBP09        2
         1       32        1       HB    HBP09        2
         9       32        1       HB    HBP09        2
        10       31        1       HB    HBP09        1
         6       31        1       HB    HBP09        1
         2       31        1       HB    HBP09        1
         8       31        1       HB    HBP09        1
         4       31        1       HB    HBP09        1
        12       31        1       HB    HBP09        1
        10       32        1       HB    HBP09        2
         6       32        1       HB    HBP09        2
         2       32        1       HB    HBP09        2
         8       32        1       HB    HBP09        2
         4       32        1       HB    HBP09        2
        12       32        1       HB    HBP09        2
        11       33        1       HB    HBP09        3
         7       33        1       HB    HBP09        3
         3       33        1       HB    HBP09        3
         5       33        1       HB    HBP09        3
         1       33        1       HB    HBP09        3
         9       33        1       HB    HBP09        3
        11       34        1       HB    HBP09        4
         7       34        1       HB    HBP09        4
         3       34        1       HB    HBP09        4
         5       34        1       HB    HBP09        4
         1       34        1       HB    HBP09        4
         9       34        1       HB    HBP09        4
        10       33        1       HB    HBP09        3
         6       33        1       HB    HBP09        3
         2       33        1       HB    HBP09        3
         8       33        1       HB    HBP09        3
         4       33        1       HB    HBP09        3
        12       33        1       HB    HBP09        3
        10       34        1       HB    HBP09        4
         6       34        1       HB    HBP09        4
         2       34        1       HB    HBP09        4
         8       34        1       HB    HBP09        4
         4       34        1       HB    HBP09        4
        12       34        1       HB    HBP09        4
        16       31        2       HB    HBP09        1
        15       31        2       HB    HBP09        1
        14       31        1       HB    HBP09        1
        15       31        1       HB    HBP09        1
        13       31        1       HB    HBP09        1
        16       31        1       HB    HBP09        1
        16       32        2       HB    HBP09        2
        15       32        2       HB    HBP09        2
        14       32        1       HB    HBP09        2
        15       32        1       HB    HBP09        2
        13       32        1       HB    HBP09        2
        16       32        1       HB    HBP09        2
        17       31        1       HE    HEP09        1
        16       31        3       HE    HEP09        1
        26       31        1       HE    HEP09        1
        18       31        1       HE    HEP09        1
        18       31        2       HE    HEP09        1
        26       31        2       HE    HEP09        1
        17       32        1       HE    HEP09        2
        16       32        3       HE    HEP09        2
        25       31        1       HE    HEP09        2
        18       32        1       HE    HEP09        2
        18       32        2       HE    HEP09        2
        25       31        2       HE    HEP09        2
        16       33        2       HB    HBP09        3
        15       33        2       HB    HBP09        3
        14       33        1       HB    HBP09        3
        15       33        1       HB    HBP09        3
        13       33        1       HB    HBP09        3
        16       33        1       HB    HBP09        3
        16       34        2       HB    HBP09        4
        15       34        2       HB    HBP09        4
        14       34        1       HB    HBP09        4
        15       34        1       HB    HBP09        4
        13       34        1       HB    HBP09        4
        16       34        1       HB    HBP09        4
        17       33        1       HE    HEP09        3
        16       33        3       HE    HEP09        3
        25       33        1       HE    HEP09        3
        18       33        1       HE    HEP09        3
        18       33        2       HE    HEP09        3
        25       33        2       HE    HEP09        3
        17       34        1       HE    HEP09        4
        16       34        3       HE    HEP09        4
        26       33        1       HE    HEP09        4
        18       34        1       HE    HEP09        4
        18       34        2       HE    HEP09        4
        26       33        2       HE    HEP09        4
        28       31        1       HE    HEP09        1
        28       31        2       HE    HEP09        1
        29       31        1       HE    HEP09        1
        28       31        3       HE    HEP09        1
        24       31        2       HE    HEP09        1
        24       31        1       HE    HEP09        1
        27       31        1       HE    HEP09        2
        27       31        2       HE    HEP09        2
        29       31        2       HE    HEP09        2
        27       31        3       HE    HEP09        2
        23       31        2       HE    HEP09        2
        23       31        1       HE    HEP09        2
        19       31        2       HE    HEP09        1
        20       31        1       HE    HEP09        1
        22       31        2       HE    HEP09        1
        19       31        1       HE    HEP09        1
        20       31        2       HE    HEP09        1
        22       31        1       HE    HEP09        1
        19       32        2       HE    HEP09        2
        20       32        1       HE    HEP09        2
        21       31        2       HE    HEP09        2
        19       32        1       HE    HEP09        2
        20       32        2       HE    HEP09        2
        21       31        1       HE    HEP09        2
        27       33        1       HE    HEP09        3
        27       33        2       HE    HEP09        3
        29       33        2       HE    HEP09        3
        27       33        3       HE    HEP09        3
        23       33        2       HE    HEP09        3
        23       33        1       HE    HEP09        3
        28       33        1       HE    HEP09        4
        28       33        2       HE    HEP09        4
        29       33        1       HE    HEP09        4
        28       33        3       HE    HEP09        4
        24       33        2       HE    HEP09        4
        24       33        1       HE    HEP09        4
        19       33        2       HE    HEP09        3
        20       33        1       HE    HEP09        3
        21       33        2       HE    HEP09        3
        19       33        1       HE    HEP09        3
        20       33        2       HE    HEP09        3
        21       33        1       HE    HEP09        3
        19       34        2       HE    HEP09        4
        20       34        1       HE    HEP09        4
        22       33        2       HE    HEP09        4
        19       34        1       HE    HEP09        4
        20       34        2       HE    HEP09        4
        22       33        1       HE    HEP09        4
       -11       68        1       HB    HBM18        3
        -7       68        1       HB    HBM18        3
        -3       68        1       HB    HBM18        3
        -5       68        1       HB    HBM18        3
        -1       68        1       HB    HBM18        3
        -9       68        1       HB    HBM18        3
       -11       67        1       HB    HBM18        4
        -7       67        1       HB    HBM18        4
        -3       67        1       HB    HBM18        4
        -5       67        1       HB    HBM18        4
        -1       67        1       HB    HBM18        4
        -9       67        1       HB    HBM18        4
       -10       68        1       HB    HBM18        3
        -6       68        1       HB    HBM18        3
        -2       68        1       HB    HBM18        3
        -8       68        1       HB    HBM18        3
        -4       68        1       HB    HBM18        3
       -12       68        1       HB    HBM18        3
       -10       67        1       HB    HBM18        4
        -6       67        1       HB    HBM18        4
        -2       67        1       HB    HBM18        4
        -8       67        1       HB    HBM18        4
        -4       67        1       HB    HBM18        4
       -12       67        1       HB    HBM18        4
       -11       70        1       HB    HBM18        1
        -7       70        1       HB    HBM18        1
        -3       70        1       HB    HBM18        1
        -5       70        1       HB    HBM18        1
        -1       70        1       HB    HBM18        1
        -9       70        1       HB    HBM18        1
       -11       69        1       HB    HBM18        2
        -7       69        1       HB    HBM18        2
        -3       69        1       HB    HBM18        2
        -5       69        1       HB    HBM18        2
        -1       69        1       HB    HBM18        2
        -9       69        1       HB    HBM18        2
       -10       70        1       HB    HBM18        1
        -6       70        1       HB    HBM18        1
        -2       70        1       HB    HBM18        1
        -8       70        1       HB    HBM18        1
        -4       70        1       HB    HBM18        1
       -12       70        1       HB    HBM18        1
       -10       69        1       HB    HBM18        2
        -6       69        1       HB    HBM18        2
        -2       69        1       HB    HBM18        2
        -8       69        1       HB    HBM18        2
        -4       69        1       HB    HBM18        2
       -12       69        1       HB    HBM18        2
       -16       68        2       HB    HBM18        3
       -15       68        2       HB    HBM18        3
       -14       68        1       HB    HBM18        3
       -15       68        1       HB    HBM18        3
       -13       68        1       HB    HBM18        3
       -16       68        1       HB    HBM18        3
       -16       67        2       HB    HBM18        4
       -15       67        2       HB    HBM18        4
       -14       67        1       HB    HBM18        4
       -15       67        1       HB    HBM18        4
       -13       67        1       HB    HBM18        4
       -16       67        1       HB    HBM18        4
       -17       68        1       HE    HEM18        3
       -16       68        3       HE    HEM18        3
       -25       67        1       HE    HEM18        3
       -18       68        1       HE    HEM18        3
       -18       68        2       HE    HEM18        3
       -25       67        2       HE    HEM18        3
       -17       67        1       HE    HEM18        4
       -16       67        3       HE    HEM18        4
       -26       67        1       HE    HEM18        4
       -18       67        1       HE    HEM18        4
       -18       67        2       HE    HEM18        4
       -26       67        2       HE    HEM18        4
       -16       70        2       HB    HBM18        1
       -15       70        2       HB    HBM18        1
       -14       70        1       HB    HBM18        1
       -15       70        1       HB    HBM18        1
       -13       70        1       HB    HBM18        1
       -16       70        1       HB    HBM18        1
       -16       69        2       HB    HBM18        2
       -15       69        2       HB    HBM18        2
       -14       69        1       HB    HBM18        2
       -15       69        1       HB    HBM18        2
       -13       69        1       HB    HBM18        2
       -16       69        1       HB    HBM18        2
       -17       70        1       HE    HEM18        1
       -16       70        3       HE    HEM18        1
       -26       69        1       HE    HEM18        1
       -18       70        1       HE    HEM18        1
       -18       70        2       HE    HEM18        1
       -26       69        2       HE    HEM18        1
       -17       69        1       HE    HEM18        2
       -16       69        3       HE    HEM18        2
       -25       69        1       HE    HEM18        2
       -18       69        1       HE    HEM18        2
       -18       69        2       HE    HEM18        2
       -25       69        2       HE    HEM18        2
       -27       67        1       HE    HEM18        3
       -27       67        2       HE    HEM18        3
       -29       67        2       HE    HEM18        3
       -27       67        3       HE    HEM18        3
       -23       67        2       HE    HEM18        3
       -23       67        1       HE    HEM18        3
       -28       67        1       HE    HEM18        4
       -28       67        2       HE    HEM18        4
       -29       67        1       HE    HEM18        4
       -28       67        3       HE    HEM18        4
       -24       67        2       HE    HEM18        4
       -24       67        1       HE    HEM18        4
       -19       68        2       HE    HEM18        3
       -20       68        1       HE    HEM18        3
       -21       67        2       HE    HEM18        3
       -19       68        1       HE    HEM18        3
       -20       68        2       HE    HEM18        3
       -21       67        1       HE    HEM18        3
       -19       67        2       HE    HEM18        4
       -20       67        1       HE    HEM18        4
       -22       67        2       HE    HEM18        4
       -19       67        1       HE    HEM18        4
       -20       67        2       HE    HEM18        4
       -22       67        1       HE    HEM18        4
       -28       69        1       HE    HEM18        1
       -28       69        2       HE    HEM18        1
