#file created 17.Jun.2016
#Writing HCAL Front End Map... IOV C
#      eta      phi    depth   subdet      rbx       rm
       -11       17        1       HB    HBM05        2
        -7       17        1       HB    HBM05        2
        -3       17        1       HB    HBM05        2
        -5       17        1       HB    HBM05        2
        -1       17        1       HB    HBM05        2
        -9       17        1       HB    HBM05        2
       -10       18        1       HB    HBM05        1
        -6       18        1       HB    HBM05        1
        -2       18        1       HB    HBM05        1
        -8       18        1       HB    HBM05        1
        -4       18        1       HB    HBM05        1
       -12       18        1       HB    HBM05        1
       -10       17        1       HB    HBM05        2
        -6       17        1       HB    HBM05        2
        -2       17        1       HB    HBM05        2
        -8       17        1       HB    HBM05        2
        -4       17        1       HB    HBM05        2
       -12       17        1       HB    HBM05        2
       -16       16        2       HB    HBM05        3
       -15       16        2       HB    HBM05        3
       -14       16        1       HB    HBM05        3
       -15       16        1       HB    HBM05        3
       -13       16        1       HB    HBM05        3
       -16       16        1       HB    HBM05        3
       -16       15        2       HB    HBM05        4
       -15       15        2       HB    HBM05        4
       -14       15        1       HB    HBM05        4
       -15       15        1       HB    HBM05        4
       -13       15        1       HB    HBM05        4
       -16       15        1       HB    HBM05        4
       -17       16        1       HE    HEM05        3
       -16       16        3       HE    HEM05        3
       -25       15        1       HE    HEM05        3
       -18       16        1       HE    HEM05        3
       -18       16        2       HE    HEM05        3
       -25       15        2       HE    HEM05        3
       -17       15        1       HE    HEM05        4
       -16       15        3       HE    HEM05        4
       -26       15        1       HE    HEM05        4
       -18       15        1       HE    HEM05        4
       -18       15        2       HE    HEM05        4
       -26       15        2       HE    HEM05        4
       -16       18        2       HB    HBM05        1
       -15       18        2       HB    HBM05        1
       -14       18        1       HB    HBM05        1
       -15       18        1       HB    HBM05        1
       -13       18        1       HB    HBM05        1
       -16       18        1       HB    HBM05        1
       -16       17        2       HB    HBM05        2
       -15       17        2       HB    HBM05        2
       -14       17        1       HB    HBM05        2
       -15       17        1       HB    HBM05        2
       -13       17        1       HB    HBM05        2
       -16       17        1       HB    HBM05        2
       -17       18        1       HE    HEM05        1
       -16       18        3       HE    HEM05        1
       -26       17        1       HE    HEM05        1
       -18       18        1       HE    HEM05        1
       -18       18        2       HE    HEM05        1
       -26       17        2       HE    HEM05        1
       -17       17        1       HE    HEM05        2
       -16       17        3       HE    HEM05        2
       -25       17        1       HE    HEM05        2
       -18       17        1       HE    HEM05        2
       -18       17        2       HE    HEM05        2
       -25       17        2       HE    HEM05        2
       -27       15        1       HE    HEM05        3
       -27       15        2       HE    HEM05        3
       -29       15        2       HE    HEM05        3
       -27       15        3       HE    HEM05        3
       -23       15        2       HE    HEM05        3
       -23       15        1       HE    HEM05        3
       -28       15        1       HE    HEM05        4
       -28       15        2       HE    HEM05        4
       -29       15        1       HE    HEM05        4
       -28       15        3       HE    HEM05        4
       -24       15        2       HE    HEM05        4
       -24       15        1       HE    HEM05        4
       -19       16        2       HE    HEM05        3
       -20       16        1       HE    HEM05        3
       -21       15        2       HE    HEM05        3
       -19       16        1       HE    HEM05        3
       -20       16        2       HE    HEM05        3
       -21       15        1       HE    HEM05        3
       -19       15        2       HE    HEM05        4
       -20       15        1       HE    HEM05        4
       -22       15        2       HE    HEM05        4
       -19       15        1       HE    HEM05        4
       -20       15        2       HE    HEM05        4
       -22       15        1       HE    HEM05        4
       -28       17        1       HE    HEM05        1
       -28       17        2       HE    HEM05        1
